* Haltestellen
*
$STOPPOINT:ID;Code;Name
0;0;Depot
8215;8215;8215
8216;8216;8216
8217;8217;8217
8193;8193;8193
8220;8220;8220
8194;8194;8194
8195;8195;8195
8196;8196;8196
8222;8222;8222
8224;8224;8224
8225;8225;8225
8198;8198;8198
8199;8199;8199
8201;8201;8201
8235;8235;8235
8202;8202;8202
8203;8203;8203
8204;8204;8204
8205;8205;8205
8206;8206;8206
8207;8207;8207
8221;8221;8221
8208;8208;8208
8209;8209;8209
8210;8210;8210
8211;8211;8211
8234;8234;8234
8231;8231;8231
8232;8232;8232
8213;8213;8213

*
$DAY:dayID;Name
0;Mo
1;Di
2;Mi
3;Do
4;Fr
*
* Tage, an denen die Trips genutzt werden
*
$DAYS:TRIPID;d1;d2;d3;d4;d5
327705;1;1;1;1;1
327730;1;1;1;1;1
327724;1;1;1;1;1
327712;1;1;1;1;1
327728;1;1;1;1;1
327709;1;1;1;1;1
327710;1;1;1;1;1
327717;1;1;1;1;1
327711;1;1;1;1;1
327732;1;1;1;1;1
327741;1;1;1;1;1
327691;1;1;1;1;1
327716;1;1;1;1;1
327731;1;1;1;1;1
327698;1;1;1;1;1
327733;1;1;1;1;1
327740;1;1;1;1;1
393217;1;1;1;1;1
393218;1;1;1;1;1
393289;1;1;1;1;1
393219;1;1;1;1;1
393286;1;1;1;1;1
393297;1;1;1;1;1
393220;1;1;1;1;1
393249;1;1;1;1;1
393310;1;1;1;1;1
393336;1;1;1;1;1
393221;1;1;1;1;1
393257;1;1;1;1;1
393323;1;1;1;1;1
393337;1;1;1;1;1
393264;1;1;1;1;1
393298;1;1;1;1;1
393338;1;1;1;1;1
393222;1;1;1;1;1
393278;1;1;1;1;1
393311;1;1;1;1;1
393339;1;1;1;1;1
393223;1;1;1;1;1
393271;1;1;1;1;1
393324;1;1;1;1;1
393340;1;1;1;1;1
393224;1;1;1;1;1
393299;1;1;1;1;1
393341;1;1;1;1;1
393225;1;1;1;1;1
393250;1;1;1;1;1
393312;1;1;1;1;1
393342;1;1;1;1;1
393226;1;1;1;1;1
393258;1;1;1;1;1
393325;1;1;1;1;1
393343;1;1;1;1;1
393265;1;1;1;1;1
393300;1;1;1;1;1
393344;1;1;1;1;1
393227;1;1;1;1;1
393279;1;1;1;1;1
393313;1;1;1;1;1
393345;1;1;1;1;1
393228;1;1;1;1;1
393272;1;1;1;1;1
393326;1;1;1;1;1
393346;1;1;1;1;1
393229;1;1;1;1;1
393301;1;1;1;1;1
393347;1;1;1;1;1
393230;1;1;1;1;1
393251;1;1;1;1;1
393314;1;1;1;1;1
393348;1;1;1;1;1
393231;1;1;1;1;1
393259;1;1;1;1;1
393327;1;1;1;1;1
393349;1;1;1;1;1
393266;1;1;1;1;1
393302;1;1;1;1;1
393350;1;1;1;1;1
393232;1;1;1;1;1
393280;1;1;1;1;1
393315;1;1;1;1;1
393351;1;1;1;1;1
393233;1;1;1;1;1
393273;1;1;1;1;1
393328;1;1;1;1;1
393352;1;1;1;1;1
393234;1;1;1;1;1
393303;1;1;1;1;1
393353;1;1;1;1;1
393252;1;1;1;1;1
393316;1;1;1;1;1
393354;1;1;1;1;1
393235;1;1;1;1;1
393260;1;1;1;1;1
393329;1;1;1;1;1
393355;1;1;1;1;1
393267;1;1;1;1;1
393304;1;1;1;1;1
393356;1;1;1;1;1
393236;1;1;1;1;1
393317;1;1;1;1;1
393357;1;1;1;1;1
393237;1;1;1;1;1
393274;1;1;1;1;1
393330;1;1;1;1;1
393358;1;1;1;1;1
393238;1;1;1;1;1
393305;1;1;1;1;1
393359;1;1;1;1;1
393253;1;1;1;1;1
393318;1;1;1;1;1
393360;1;1;1;1;1
393239;1;1;1;1;1
393261;1;1;1;1;1
393331;1;1;1;1;1
393361;1;1;1;1;1
393268;1;1;1;1;1
393306;1;1;1;1;1
393362;1;1;1;1;1
393240;1;1;1;1;1
393319;1;1;1;1;1
393363;1;1;1;1;1
393241;1;1;1;1;1
393275;1;1;1;1;1
393332;1;1;1;1;1
393364;1;1;1;1;1
393242;1;1;1;1;1
393307;1;1;1;1;1
393365;1;1;1;1;1
393254;1;1;1;1;1
393320;1;1;1;1;1
393366;1;1;1;1;1
393243;1;1;1;1;1
393262;1;1;1;1;1
393333;1;1;1;1;1
393367;1;1;1;1;1
393269;1;1;1;1;1
393308;1;1;1;1;1
393368;1;1;1;1;1
393244;1;1;1;1;1
393321;1;1;1;1;1
393369;1;1;1;1;1
393245;1;1;1;1;1
393276;1;1;1;1;1
393334;1;1;1;1;1
393370;1;1;1;1;1
393246;1;1;1;1;1
393309;1;1;1;1;1
393371;1;1;1;1;1
393255;1;1;1;1;1
393322;1;1;1;1;1
393372;1;1;1;1;1
393247;1;1;1;1;1
393263;1;1;1;1;1
393335;1;1;1;1;1
393373;1;1;1;1;1
393270;1;1;1;1;1
393374;1;1;1;1;1
393248;1;1;1;1;1
393277;1;1;1;1;1
393290;1;1;1;1;1
393256;1;1;1;1;1
393295;1;1;1;1;1
393281;1;1;1;1;1
393282;1;1;1;1;1
393283;1;1;1;1;1
393291;1;1;1;1;1
393296;1;1;1;1;1
393287;1;1;1;1;1
393284;1;1;1;1;1
393294;1;1;1;1;1
393293;1;1;1;1;1
393285;1;1;1;1;1
393292;1;1;1;1;1
393288;1;1;1;1;1
458753;1;1;1;1;1
458755;1;1;1;1;1
458756;1;1;1;1;1
458757;1;1;1;1;1
458754;1;1;1;1;1
458758;1;1;1;1;1
458759;1;1;1;1;1
524289;1;1;1;1;1
524290;1;1;1;1;1
589825;1;1;1;1;1
589826;1;1;1;1;1
589827;1;1;1;1;1
589828;1;1;1;1;1
589829;1;1;1;1;1
589830;1;1;1;1;1
589831;1;1;1;1;1
589832;1;1;1;1;1
589835;1;1;1;1;1
589836;1;1;1;1;1
655361;1;1;1;1;1
655362;1;1;1;1;1
655363;1;1;1;1;1
655364;1;1;1;1;1
655365;1;1;1;1;1
655366;1;1;1;1;1
720897;1;1;1;1;1
720898;1;1;1;1;1
720899;1;1;1;1;1
786433;1;0;0;0;0
786440;1;0;0;0;0
786437;1;0;0;0;0
786434;1;0;0;0;0
786438;1;0;0;0;0
786444;1;0;0;0;0
786439;1;0;0;0;0
786441;1;0;0;0;0
786435;1;0;0;0;0
786446;1;0;0;0;0
786445;1;0;0;0;0
786442;1;0;0;0;0
786436;1;0;0;0;0
786443;1;0;0;0;0
790433;0;1;0;0;0
790440;0;1;0;0;0
790437;0;1;0;0;0
790434;0;1;0;0;0
790438;0;1;0;0;0
790444;0;1;0;0;0
790436;0;1;0;0;0
790439;0;1;0;0;0
790441;0;1;0;0;0
790435;0;1;0;0;0
790446;0;1;0;0;0
790445;0;1;0;0;0
791433;0;0;1;1;0
791440;0;0;1;1;1
791437;0;0;1;0;0
791434;0;0;1;0;0
791438;0;0;1;0;0
791444;0;0;1;1;1
791436;0;0;1;0;0
791439;0;0;1;0;0
791441;0;0;1;0;0
791435;0;0;1;0;1
791446;0;0;1;0;0
791445;0;0;1;0;0
791450;0;0;1;0;0
791451;0;0;1;0;0
791452;0;0;1;0;0
791453;0;0;1;0;0
791454;0;0;1;0;0
791455;0;0;1;0;0
792436;0;0;0;1;1
792439;0;0;0;1;1
792464;0;0;0;1;0
792441;0;0;0;1;0
792435;0;0;0;1;0
791465;0;0;0;1;0
792446;0;0;0;1;0
792445;0;0;0;1;0
792450;0;0;0;1;0
792451;0;0;0;1;0
792452;0;0;0;1;0
792453;0;0;0;1;0
792454;0;0;0;1;0
792455;0;0;0;1;0
792456;0;0;0;1;0
792457;0;0;0;1;0
792458;0;0;0;1;0
792459;0;0;0;1;0
792437;0;0;0;1;0
792434;0;0;0;1;0
792442;0;0;0;1;0
791443;0;0;0;1;1
792438;0;0;0;1;1
792440;0;0;0;1;0
793433;0;0;0;0;1
793437;0;0;0;0;1
793434;0;0;0;0;1
793435;0;0;0;0;1
793440;0;0;0;0;1
793436;0;0;0;0;1
793457;0;0;0;0;1
793442;0;0;0;0;1
793446;0;0;0;0;1
793445;0;0;0;0;1
793450;0;0;0;0;1
793451;0;0;0;0;1
793452;0;0;0;0;1
793453;0;0;0;0;1
793454;0;0;0;0;1
793455;0;0;0;0;1
793456;0;0;0;0;1
